security_type,signal_strength,wps_enabled,hidden_ssid,known_vendor_risk,high_risk
OPEN,76,1,0,0,1
WPA3,21,1,0,0,0
WPA,93,1,1,1,1
WPA2,56,0,1,0,0
WPA,44,0,1,1,1
WPA2,47,1,1,0,0
WPA,33,0,1,1,1
OPEN,83,1,0,1,1
OPEN,75,1,0,0,1
WPA3,50,1,1,1,0
WPA2,30,0,0,0,0
OPEN,58,0,1,1,1
WPA3,74,0,1,0,0
WEP,87,0,0,0,1
WPA2,30,0,0,1,0
WPA,41,0,1,1,1
WPA3,49,0,1,1,0
WPA2,22,0,1,1,0
WPA,79,1,0,1,1
WEP,34,1,1,0,1
WPA3,30,1,0,1,0
WPA2,77,1,0,1,0
WEP,77,1,0,1,1
WPA,17,0,0,0,1
WPA,68,1,0,1,1
WPA,21,1,1,1,1
WPA,59,0,1,1,1
WEP,63,0,0,0,1
WPA3,32,0,0,1,0
WPA3,17,0,1,0,0
WPA3,37,1,0,0,0
WPA2,25,1,1,1,0
WPA3,68,0,0,0,0
WPA3,40,0,0,0,0
OPEN,22,1,1,1,1
WPA,72,0,1,1,1
WPA3,27,0,1,0,0
WPA,28,0,0,0,1
WPA2,65,1,0,1,0
OPEN,42,0,0,1,1
WEP,87,0,1,0,1
WEP,76,1,0,1,1
WEP,72,1,0,1,1
WEP,21,0,0,1,1
OPEN,51,1,0,1,1
WEP,79,1,1,0,1
WPA,83,0,1,0,1
WPA2,68,0,0,1,0
OPEN,61,0,1,1,1
OPEN,75,0,1,0,1
OPEN,54,0,0,1,1
OPEN,69,0,0,1,1
WPA2,28,0,1,1,0
WPA,50,0,1,1,1
WEP,16,0,1,0,1
WPA,52,1,0,0,1
WEP,53,1,0,0,1
WPA3,27,1,1,0,0
WPA3,36,1,0,1,0
WPA,82,0,0,0,1
WEP,81,0,1,1,1
OPEN,39,1,0,0,1
WPA2,68,0,0,0,0
WPA2,73,1,1,1,0
WEP,23,1,1,1,1
WEP,33,0,0,1,1
WPA,44,0,1,0,1
WPA3,92,0,0,1,0
WPA2,38,1,1,1,0
WEP,94,1,0,0,1
WPA,18,0,0,1,1
WPA3,27,1,0,1,0
WPA3,86,0,1,0,0
WPA,52,0,0,1,1
WEP,67,0,0,1,1
OPEN,73,1,0,0,1
OPEN,89,1,0,0,1
OPEN,20,1,1,0,1
WPA2,29,0,1,1,0
WPA3,18,0,0,0,0
WPA3,77,0,1,0,0
WPA,49,0,1,0,1
OPEN,33,0,0,0,1
WPA2,92,0,0,1,0
WPA3,70,1,1,0,0
OPEN,84,1,0,1,1
OPEN,74,1,0,0,1
OPEN,60,1,0,0,1
WPA3,39,0,0,1,0
WPA2,40,1,1,0,0
WPA3,88,0,0,1,0
WPA,26,1,1,0,1
WPA2,26,1,0,0,0
WPA3,28,1,0,1,0
WPA2,79,0,0,1,0
WPA2,82,0,1,0,0
WEP,81,0,1,0,1
WEP,41,1,1,1,1
WPA3,84,1,1,0,0
WPA,24,0,1,0,1
OPEN,67,1,1,0,1
WPA,57,0,0,0,1
WPA3,74,1,1,1,0
OPEN,85,0,0,1,1
WEP,26,0,1,0,1
WEP,88,0,1,1,1
WPA,28,0,0,1,1
OPEN,51,0,1,0,1
WPA2,19,0,0,1,0
OPEN,49,1,1,1,1
WPA3,46,1,0,1,0
WPA,73,1,1,1,1
WPA,18,0,0,1,1
WEP,33,0,1,1,1
WPA3,48,0,0,0,0
WEP,89,1,1,0,1
OPEN,81,0,0,0,1
WPA3,70,0,1,1,0
WPA3,87,0,1,0,0
WPA3,61,1,1,1,0
WPA2,77,1,0,1,0
WPA,40,1,1,1,1
WPA3,52,1,0,1,0
WPA2,34,0,0,0,0
WPA,53,0,0,1,1
WEP,42,0,1,0,1
WPA2,41,0,0,0,0
WPA2,33,0,1,1,0
WPA2,88,1,0,1,0
WEP,51,1,1,1,1
WPA,67,0,1,1,1
WPA,76,1,0,0,1
OPEN,73,0,0,1,1
WPA2,55,1,1,0,0
WPA3,64,1,0,1,0
WPA2,61,0,1,1,0
WPA2,25,1,1,0,0
WPA3,47,1,0,1,0
WPA3,78,1,1,0,0
WEP,72,1,0,0,1
WPA,64,0,0,0,1
WPA,15,1,0,0,1
WPA2,56,1,1,1,0
WPA2,56,0,0,1,0
OPEN,89,1,0,1,1
OPEN,72,0,0,1,1
WPA2,48,1,1,0,0
WPA2,73,0,1,1,0
WPA3,76,1,0,1,0
WEP,57,0,0,0,1
WPA3,26,0,1,1,0
WPA,73,0,0,1,1
OPEN,59,1,1,0,1
WPA2,64,0,0,0,0
WPA2,93,0,1,1,0
WPA3,48,0,0,1,0
WPA3,65,0,0,0,0
WPA,17,1,1,0,1
OPEN,51,1,1,0,1
WEP,92,0,0,0,1
OPEN,39,1,1,1,1
WPA2,58,0,0,1,0
OPEN,85,1,0,1,1
WPA3,18,0,1,1,0
OPEN,68,0,1,1,1
OPEN,69,1,1,0,1
WEP,34,0,0,1,1
WPA2,79,0,0,1,0
WEP,67,1,0,0,1
OPEN,27,0,1,1,1
WPA3,79,1,0,0,0
WPA3,34,0,1,1,0
WPA3,89,0,1,1,0
WPA2,80,1,0,0,0
WPA,31,0,0,1,1
WPA,58,1,1,1,1
OPEN,83,0,0,1,1
WPA2,19,0,0,0,0
OPEN,71,1,1,1,1
WPA2,55,0,0,1,0
OPEN,18,0,1,0,1
WPA2,47,0,0,0,0
WPA2,29,0,1,1,0
WPA,58,1,0,1,1
WPA3,60,0,0,0,0
WPA3,58,0,0,1,0
WPA,70,0,1,0,1
WPA3,27,0,0,1,0
WPA2,47,1,0,0,0
OPEN,92,0,1,0,1
OPEN,39,1,0,1,1
WPA2,47,1,1,0,0
OPEN,47,1,0,1,1
WPA,63,0,1,0,1
WEP,48,0,0,0,1
WEP,22,1,0,1,1
WPA,71,1,1,1,1
WPA2,64,0,0,1,0
WEP,58,0,0,1,1
WPA2,57,0,1,1,0
WPA3,73,1,1,0,0
WPA3,83,1,1,1,0
WEP,78,0,0,1,1
WPA3,45,0,0,0,0
OPEN,20,1,1,1,1
OPEN,21,0,1,0,1
WPA,28,1,0,0,1
WPA2,87,0,0,1,0
WPA2,83,0,0,1,0
OPEN,34,1,1,0,1
WPA,44,1,1,0,1
WPA3,50,1,0,0,0
WPA2,70,0,1,1,0
WEP,89,1,0,0,1
WPA2,31,1,1,0,0
OPEN,71,0,0,1,1
WPA3,94,1,1,0,0
WPA3,79,1,1,0,0
WPA,50,1,0,0,1
OPEN,81,1,0,0,1
WPA,52,1,0,0,1
OPEN,34,1,1,0,1
WPA2,33,0,0,0,0
WPA,94,1,1,0,1
OPEN,21,0,0,1,1
WPA3,83,1,1,1,0
WPA,68,1,1,1,1
OPEN,72,0,1,1,1
WPA3,42,1,1,0,0
WPA,57,1,1,1,1
WEP,55,0,1,0,1
WPA,24,1,0,0,1
WPA,54,1,1,1,1
OPEN,16,0,1,1,1
WPA2,65,0,0,0,0
WEP,40,0,0,0,1
WPA2,89,1,0,0,0
WEP,26,1,1,0,1
WPA,37,0,1,1,1
WPA2,72,1,1,1,0
WPA3,53,1,1,1,0
WPA3,56,1,0,1,0
WPA2,77,0,1,0,0
OPEN,55,1,1,0,1
WPA2,59,1,1,0,0
WPA3,23,1,0,0,0
WPA3,73,1,1,1,0
WEP,15,0,0,0,1
WPA,77,1,0,1,1
WPA3,83,0,0,1,0
WEP,47,0,1,1,1
OPEN,32,1,1,1,1
WEP,88,0,1,0,1
OPEN,19,0,1,0,1
WEP,23,1,1,1,1
WPA2,67,1,0,1,0
WPA2,74,0,1,0,0
OPEN,87,0,0,1,1
WEP,83,0,0,1,1
WPA,36,1,1,0,1
WPA2,47,1,1,1,0
WPA2,35,0,0,1,0
WPA,42,1,1,1,1
WEP,71,1,0,0,1
OPEN,36,1,1,1,1
OPEN,69,0,1,0,1
WPA,72,0,1,1,1
WPA3,66,0,1,0,0
WPA,25,0,1,0,1
WPA3,83,1,1,1,0
OPEN,46,0,1,0,1
WPA,42,0,0,0,1
OPEN,20,0,0,1,1
OPEN,39,0,1,1,1
WPA3,42,0,0,1,0
WPA3,91,1,1,1,0
WPA3,37,0,1,0,0
WEP,59,0,1,1,1
WEP,57,1,1,0,1
WPA,64,1,0,0,1
WPA3,34,0,0,0,0
OPEN,42,1,0,0,1
OPEN,59,0,1,1,1
WPA2,65,0,1,0,0
WPA3,94,1,1,0,0
WPA3,68,1,0,1,0
WPA,29,0,1,0,1
OPEN,49,1,0,1,1
WPA2,56,1,0,0,0
OPEN,90,1,1,0,1
WEP,18,0,0,1,1
OPEN,93,0,0,1,1
WPA2,40,0,0,1,0
OPEN,65,0,1,0,1
WPA3,70,0,0,1,0
WEP,54,0,0,0,1
OPEN,15,0,0,0,1
WPA3,28,0,0,1,0
WEP,54,0,0,0,1
WPA,59,1,0,1,1
WPA,35,0,0,1,1
WEP,88,0,1,1,1
WEP,33,1,0,0,1
WPA3,53,0,0,0,0
WPA3,71,0,0,1,0
OPEN,40,0,0,1,1
OPEN,15,1,0,1,1
OPEN,27,0,1,1,1
WPA,34,0,1,0,1
WPA,69,1,0,0,1
WEP,83,1,1,0,1
OPEN,86,1,1,1,1
WEP,35,0,1,1,1
WPA,92,1,1,1,1
OPEN,43,1,1,0,1
WEP,58,1,0,1,1
WEP,32,1,0,1,1
WEP,80,0,1,0,1
WPA2,42,0,0,1,0
OPEN,67,1,1,1,1
WEP,74,1,0,0,1
WPA3,26,1,0,0,0
WPA2,26,1,1,0,0
OPEN,78,1,0,1,1
WEP,15,1,0,1,1
WPA3,61,1,0,0,0
WPA,86,0,1,0,1
WPA,28,1,0,0,1
WPA2,19,0,1,0,0
WEP,42,1,1,1,1
OPEN,16,0,1,0,1
WEP,82,1,1,0,1
WPA2,63,0,1,1,0
WEP,75,1,1,1,1
WPA2,60,0,1,1,0
WPA3,26,0,1,1,0
WPA3,15,0,1,0,0
WPA,49,0,1,0,1
WPA2,86,1,0,0,0
WPA2,52,0,0,1,0
WEP,29,1,0,1,1
WPA3,93,1,0,0,0
WEP,52,1,1,1,1
WPA3,66,0,0,1,0
OPEN,74,1,1,1,1
WPA2,90,1,0,0,0
WPA2,87,1,1,1,1
WPA2,55,0,0,0,0
WPA,74,0,0,0,1
WPA3,94,0,1,1,0
WPA3,86,1,0,1,0
WEP,42,1,1,1,1
WEP,47,0,1,1,1
WPA3,55,0,0,0,0
WEP,45,0,0,1,1
OPEN,41,0,0,1,1
OPEN,42,0,1,1,1
WEP,30,0,0,1,1
WPA,85,0,0,0,1
WEP,93,0,0,1,1
OPEN,52,0,0,0,1
OPEN,15,0,0,1,1
WEP,67,1,0,1,1
OPEN,33,0,0,0,1
WEP,76,0,1,1,1
WPA3,23,1,1,1,0
WEP,91,1,0,0,1
OPEN,90,0,0,1,1
WPA,22,1,1,1,1
WPA2,47,1,1,0,0
OPEN,35,0,0,0,1
WPA3,44,1,1,1,0
WPA2,38,1,0,1,0
WPA,23,1,0,1,1
OPEN,31,1,1,0,1
OPEN,33,1,1,0,1
WEP,36,0,1,1,1
OPEN,67,0,0,0,1
OPEN,34,1,1,0,1
WPA3,60,1,1,0,0
WPA,57,1,0,0,1
WEP,38,0,0,1,1
OPEN,86,0,1,0,1
WPA,37,0,0,1,1
WEP,57,1,0,0,1
OPEN,43,0,0,1,1
OPEN,53,1,1,0,1
OPEN,44,1,1,0,1
OPEN,35,1,0,0,1
OPEN,27,1,0,0,1
WPA3,63,0,0,1,0
WPA,57,1,1,0,1
WPA3,94,0,1,1,0
WPA2,44,0,1,0,0
WPA3,88,1,0,1,0
OPEN,89,0,0,1,1
WPA2,64,0,1,1,0
WPA2,81,0,0,1,0
WPA,50,0,1,1,1
OPEN,59,1,0,0,1
WPA3,19,0,0,1,0
OPEN,49,0,1,1,1
WPA,46,0,1,1,1
WEP,48,1,1,0,1
WEP,67,1,1,0,1
WPA,64,1,1,0,1
WPA,29,0,1,1,1
WPA3,61,0,1,0,0
WEP,86,1,1,0,1
WPA3,51,1,1,1,0
OPEN,39,0,1,1,1
WEP,73,1,0,0,1
WPA3,59,0,1,1,0
WPA,73,1,0,0,1
OPEN,66,0,0,1,1
WPA,52,0,0,0,1
WPA3,22,0,1,0,0
WPA2,73,1,0,0,0
WPA3,41,1,0,0,0
WPA2,90,1,1,0,0
WPA3,68,0,0,1,0
WEP,76,0,0,0,1
WEP,68,1,1,1,1
WEP,91,1,1,1,1
WPA2,91,1,1,1,1
WEP,39,1,0,0,1
WPA2,93,1,0,0,0
WPA2,58,0,1,0,0
WPA2,85,1,1,0,0
WPA,29,1,1,1,1
WEP,40,1,1,1,1
WPA,50,1,1,0,1
WPA3,34,0,1,1,0
WPA3,40,1,1,1,0
OPEN,74,1,1,0,1
WPA2,23,0,1,0,0
WPA2,34,1,1,1,0
WEP,39,0,0,1,1
WEP,47,0,0,1,1
WPA3,38,1,1,0,0
WEP,15,0,0,0,1
WPA2,25,1,0,0,0
WPA2,76,1,0,0,0
WEP,51,1,0,0,1
WPA3,27,0,0,0,0
WPA2,85,1,0,1,0
WPA2,20,1,0,1,0
WPA2,34,0,0,1,0
WEP,68,0,0,1,1
WPA3,61,0,0,0,0
WPA,59,0,1,0,1
WPA2,78,1,0,1,0
OPEN,94,0,1,0,1
OPEN,69,1,0,1,1
WEP,40,0,0,0,1
WPA,31,0,0,1,1
WPA2,43,0,1,1,0
WPA3,87,1,1,0,0
WEP,40,0,1,1,1
WPA3,28,0,0,1,0
WEP,26,1,1,1,1
OPEN,41,0,0,1,1
WEP,20,1,0,0,1
OPEN,21,0,1,1,1
OPEN,17,0,1,1,1
WPA3,42,0,0,0,0
OPEN,83,0,1,1,1
WPA,51,1,0,0,1
WPA,46,1,1,1,1
WEP,41,1,0,1,1
WPA,75,1,0,0,1
WEP,47,0,1,0,1
WPA2,75,1,0,1,0
OPEN,41,0,0,0,1
OPEN,80,0,0,1,1
WPA3,83,0,1,1,0
OPEN,50,1,0,0,1
WPA3,91,1,1,1,0
WPA,30,1,0,0,1
WPA2,90,0,0,1,0
OPEN,60,1,1,0,1
WPA3,44,1,0,0,0
WPA,18,1,1,0,1
WPA,64,0,0,0,1
WEP,75,0,1,0,1
WPA,27,0,1,0,1
OPEN,56,0,0,0,1
WPA,66,1,1,0,1
WEP,15,0,0,1,1
WPA3,76,1,1,0,0
WPA3,86,0,0,1,0
WPA,82,1,0,0,1
WEP,32,0,1,0,1
OPEN,39,1,0,0,1
WPA3,22,0,0,0,0
WPA,56,0,0,0,1
WPA2,83,0,0,0,0
WEP,34,0,1,0,1
WEP,36,1,1,0,1
WEP,79,1,0,1,1
WPA2,22,1,0,0,0
OPEN,51,1,0,0,1
OPEN,83,1,1,0,1
WPA3,70,1,0,1,0
WPA,18,0,0,0,1
WEP,52,1,0,1,1
WPA3,79,1,0,1,0
WPA3,41,0,1,0,0
WEP,92,1,0,1,1
WEP,78,1,0,0,1
WPA2,40,0,0,1,0
OPEN,78,1,0,1,1
WPA,43,1,0,0,1
WPA,79,1,0,1,1
WPA3,89,1,0,1,0
WEP,36,0,1,1,1
WEP,51,0,1,0,1
WPA,44,0,1,0,1
OPEN,45,1,0,0,1
OPEN,55,1,1,0,1
WPA3,32,1,1,1,0
WPA2,57,0,1,1,0
WPA3,89,0,1,0,0
WPA2,94,0,1,1,0
WPA3,46,0,1,1,0
WPA,93,0,1,0,1
WPA3,69,1,1,0,0
OPEN,41,1,0,1,1
WEP,54,0,0,0,1
OPEN,60,1,1,0,1
WPA3,85,1,0,1,0
WPA,19,0,1,0,1
WPA,76,0,0,0,1
WPA,34,1,0,1,1
WPA2,83,1,0,1,0
WPA,91,1,1,0,1
OPEN,23,0,1,1,1
WPA,34,1,1,1,1
WPA2,63,1,0,1,0
WEP,25,0,0,0,1
WPA3,78,0,1,0,0
WEP,71,0,1,1,1
OPEN,16,1,1,1,1
WPA,49,1,1,0,1
WPA2,68,0,0,1,0
WPA2,25,0,1,0,0
WPA3,56,1,0,0,0
OPEN,60,0,0,0,1
OPEN,22,1,1,0,1
WPA,32,1,0,1,1
WEP,21,1,1,1,1
WPA3,85,1,0,0,0
OPEN,49,0,0,0,1
WPA,44,1,0,1,1
WPA2,18,0,1,1,0
WEP,56,1,0,0,1
WEP,89,1,1,1,1
OPEN,37,0,0,1,1
WPA3,27,1,1,0,0
WPA3,84,1,1,0,0
WPA2,50,1,0,0,0
WPA3,38,0,1,0,0
WPA,37,0,1,0,1
OPEN,68,1,0,1,1
WPA,81,0,1,1,1
WPA3,43,1,1,0,0
WPA3,78,0,1,0,0
WPA,92,1,0,1,1
WPA,71,1,0,0,1
WPA,84,0,0,0,1
OPEN,46,0,0,1,1
OPEN,60,1,1,0,1
OPEN,89,1,1,0,1
OPEN,40,0,1,0,1
WEP,93,1,0,0,1
WPA,68,1,1,1,1
OPEN,33,1,0,0,1
OPEN,89,0,0,0,1
OPEN,60,0,1,0,1
WPA,67,1,1,0,1
WPA,79,1,1,1,1
WPA3,64,1,0,0,0
OPEN,22,0,0,0,1
WPA,64,1,1,0,1
WEP,76,0,1,0,1
OPEN,64,0,0,1,1
OPEN,68,0,0,1,1
WEP,76,1,1,0,1
WPA2,89,1,0,1,0
OPEN,62,0,1,1,1
OPEN,55,1,0,0,1
WPA3,22,0,1,0,0
WPA3,48,1,0,1,0
WPA,34,0,1,1,1
WPA2,19,1,1,0,0
WPA,54,1,0,0,1
WPA2,19,1,1,1,0
WPA2,74,1,1,0,0
WPA,66,0,1,1,1
WPA2,39,0,0,1,0
